university_code,university,category,group_code,min_score,min_rank,plan_count,source,verified,has_major_details,major_name,group_name
10012,北京服装学院,物理,209,534,105856,6,广东省教育考试院官方PDF,True,False,,
10013,北京邮电大学,物理,204,635,7767,113,广东省教育考试院官方PDF,True,False,,
10013,北京邮电大学(中外合作办学),物理,205,620,13955,31,广东省教育考试院官方PDF,True,False,,
10013,"省
北京邮电大学",物理,206,657,2398,8,广东省教育考试院官方PDF,True,False,,
10013,北京邮电大学(中外合作办学),物理,207,612,18564,18,广东省教育考试院官方PDF,True,False,,
10015,北京印刷学院,物理,206,552,77981,1,广东省教育考试院官方PDF,True,False,,
10015,北京印刷学院,物理,207,543,91448,5,广东省教育考试院官方PDF,True,False,,
10016,"东
北京建筑大学",物理,203,574,50596,2,广东省教育考试院官方PDF,True,False,,
10016,北京建筑大学,物理,204,557,71141,6,广东省教育考试院官方PDF,True,False,,
10017,北京石油化工学院,物理,203,548,83886,3,广东省教育考试院官方PDF,True,False,,
10017,北京石油化工学院,物理,204,552,78351,6,广东省教育考试院官方PDF,True,False,,
10019,"广
中国农业大学(中外合作办学)",物理,207,604,23636,5,广东省教育考试院官方PDF,True,False,,
10019,中国农业大学,物理,208,614,17428,7,广东省教育考试院官方PDF,True,False,,
10019,中国农业大学,物理,210,618,14948,71,广东省教育考试院官方PDF,True,False,,
10022,北京林业大学,物理,226,590,35094,18,广东省教育考试院官方PDF,True,False,,
10022,北京林业大学,物理,227,587,37298,9,广东省教育考试院官方PDF,True,False,,
10022,北京林业大学,物理,230,593,31810,5,广东省教育考试院官方PDF,True,False,,
10022,北京林业大学,物理,231,587,37411,9,广东省教育考试院官方PDF,True,False,,
10022,北京林业大学,物理,233,585,39242,17,广东省教育考试院官方PDF,True,False,,
10022,北京林业大学,物理,234,599,27312,30,广东省教育考试院官方PDF,True,False,,
10022,北京林业大学(中外合作办学),物理,235,574,50162,5,广东省教育考试院官方PDF,True,False,,
10022,北京林业大学,物理,237,586,38482,2,广东省教育考试院官方PDF,True,False,,
10022,北京林业大学,物理,238,595,30729,7,广东省教育考试院官方PDF,True,False,,
10026,北京中医药大学,物理,211,597,28849,4,广东省教育考试院官方PDF,True,False,,
10026,北京中医药大学,物理,214,602,24867,30,广东省教育考试院官方PDF,True,False,,
10027,北京师范大学,物理,213,639,6364,8,广东省教育考试院官方PDF,True,False,,
10027,北京师范大学,物理,215,645,4899,25,广东省教育考试院官方PDF,True,False,,
10028,首都师范大学,物理,210,599,27545,2,广东省教育考试院官方PDF,True,False,,
10028,首都师范大学,物理,211,611,18891,2,广东省教育考试院官方PDF,True,False,,
10028,首都师范大学,物理,212,599,27762,8,广东省教育考试院官方PDF,True,False,,
10028,首都师范大学,物理,213,594,31598,5,广东省教育考试院官方PDF,True,False,,
10029,首都体育学院,物理,205,554,75816,4,广东省教育考试院官方PDF,True,False,,
10030,北京外国语大学,物理,214,606,22604,16,广东省教育考试院官方PDF,True,False,,
10030,北京外国语大学,物理,216,619,14755,3,广东省教育考试院官方PDF,True,False,,
10030,北京外国语大学,物理,217,615,16825,1,广东省教育考试院官方PDF,True,False,,
10030,北京外国语大学(中外合作办学),物理,218,591,33701,2,广东省教育考试院官方PDF,True,False,,
10032,北京语言大学,物理,215,571,54292,23,广东省教育考试院官方PDF,True,False,,
10032,北京语言大学(中外合作办学),物理,216,521,127733,10,广东省教育考试院官方PDF,True,False,,
10032,北京语言大学,物理,217,581,43421,21,广东省教育考试院官方PDF,True,False,,
10033,中国传媒大学,物理,211,599,27457,18,广东省教育考试院官方PDF,True,False,,
10033,中国传媒大学(中外合作办学),物理,212,588,36181,5,广东省教育考试院官方PDF,True,False,,
10033,中国传媒大学,物理,213,609,20328,29,广东省教育考试院官方PDF,True,False,,
10033,中国传媒大学(中外合作办学),物理,214,586,38197,"考
12",广东省教育考试院官方PDF,True,False,,
10033,中国传媒大学,物理,216,615,16791,4,广东省教育考试院官方PDF,True,False,,
10033,中国传媒大学,物理,217,612,18595,2,广东省教育考试院官方PDF,True,False,,
10034,中央财经大学,物理,208,618,15294,63,广东省教育考试院官方PDF,True,False,,
10034,中央财经大学(中外合作办学),物理,"育
209",608,21279,8,广东省教育考试院官方PDF,True,False,,
10036,对外经济贸易大学,物理,208,615,16918,39,广东省教育考试院官方PDF,True,False,,
10036,对外经济贸易大学,物理,209,617,15626,8,广东省教育考试院官方PDF,True,False,,
10036,对外经济贸易大学(中外合作办学),物理,210,606,22498,11,广东省教育考试院官方PDF,True,False,,
10037,"教
北京物资学院(中外合作办学)",物理,205,537,100622,2,广东省教育考试院官方PDF,True,False,,
10037,北京物资学院,物理,206,550,81321,3,广东省教育考试院官方PDF,True,False,,
10038,首都经济贸易大学,物理,205,581,43252,3,广东省教育考试院官方PDF,True,False,,
10038,首都经济贸易大学,物理,206,587,37413,3,广东省教育考试院官方PDF,True,False,,
10041,"省
中国人民公安大学",物理,202,613,17766,4,广东省教育考试院官方PDF,True,False,,
10043,北京体育大学,物理,218,596,29743,2,广东省教育考试院官方PDF,True,False,,
10043,北京体育大学,物理,219,592,32654,3,广东省教育考试院官方PDF,True,False,,
10043,北京体育大学(中外合作办学),物理,220,541,95225,7,广东省教育考试院官方PDF,True,False,,
10043,"东
北京体育大学",物理,221,593,32588,1,广东省教育考试院官方PDF,True,False,,
10043,北京体育大学,物理,222,595,30261,2,广东省教育考试院官方PDF,True,False,,
10046,中国音乐学院,物理,204,580,43927,1,广东省教育考试院官方PDF,True,False,,
10047,中央美术学院,物理,208,586,38478,3,广东省教育考试院官方PDF,True,False,,
10047,"广
中央美术学院(中外合作办学)",物理,209,582,42660,4,广东省教育考试院官方PDF,True,False,,
10047,中央美术学院,物理,210,608,20851,3,广东省教育考试院官方PDF,True,False,,
10050,北京电影学院,物理,211,594,31130,2,广东省教育考试院官方PDF,True,False,,
10050,北京电影学院,物理,212,604,23427,2,广东省教育考试院官方PDF,True,False,,
10050,北京电影学院,物理,213,605,23231,2,广东省教育考试院官方PDF,True,False,,
10050,北京电影学院,物理,214,594,31632,3,广东省教育考试院官方PDF,True,False,,
10050,北京电影学院,物理,215,605,22986,2,广东省教育考试院官方PDF,True,False,,
10052,中央民族大学,物理,220,604,23707,19,广东省教育考试院官方PDF,True,False,,
10052,中央民族大学,物理,222,608,20962,41,广东省教育考试院官方PDF,True,False,,
10052,中央民族大学(内地澳门合作办学),物理,224,602,25473,8,广东省教育考试院官方PDF,True,False,,
10053,中国政法大学,物理,208,616,16327,42,广东省教育考试院官方PDF,True,False,,
10054,华北电力大学(北京),物理,207,595,30358,12,广东省教育考试院官方PDF,True,False,,
10054,华北电力大学(北京),物理,208,610,19698,90,广东省教育考试院官方PDF,True,False,,
10055,南开大学,物理,205,644,5048,8,广东省教育考试院官方PDF,True,False,,
10055,南开大学,物理,206,647,4394,61,广东省教育考试院官方PDF,True,False,,
10056,天津大学,物理,203,632,8868,38,广东省教育考试院官方PDF,True,False,,
10056,天津大学,物理,204,636,7609,47,广东省教育考试院官方PDF,True,False,,
10057,天津科技大学,物理,210,548,84360,4,广东省教育考试院官方PDF,True,False,,
10057,天津科技大学(中外合作办学),物理,211,534,106156,3,广东省教育考试院官方PDF,True,False,,
10057,天津科技大学,物理,212,542,93102,44,广东省教育考试院官方PDF,True,False,,
10057,天津科技大学(中外合作办学),物理,213,557,71430,3,广东省教育考试院官方PDF,True,False,,
10058,天津工业大学,物理,213,566,60491,4,广东省教育考试院官方PDF,True,False,,
10058,天津工业大学,物理,214,562,64539,16,广东省教育考试院官方PDF,True,False,,
10058,天津工业大学,物理,215,573,51643,47,广东省教育考试院官方PDF,True,False,,
10058,天津工业大学(中外合作办学),物理,220,577,47852,6,广东省教育考试院官方PDF,True,False,,
10059,中国民航大学,物理,213,568,57974,168,广东省教育考试院官方PDF,True,False,,
10060,天津理工大学,物理,205,536,101615,16,广东省教育考试院官方PDF,True,False,,
10060,天津理工大学(中外合作办学),物理,206,534,105706,2,广东省教育考试院官方PDF,True,False,,
10060,天津理工大学,物理,208,562,64911,22,广东省教育考试院官方PDF,True,False,,
10060,天津理工大学,物理,209,556,73281,26,广东省教育考试院官方PDF,True,False,,
10060,天津理工大学,物理,210,543,91204,24,广东省教育考试院官方PDF,True,False,,
10060,天津理工大学(中外合作办学),物理,211,556,72806,"考
10",广东省教育考试院官方PDF,True,False,,
10061,天津农学院,物理,205,507,152857,1,广东省教育考试院官方PDF,True,False,,
10061,天津农学院,物理,206,499,167340,11,广东省教育考试院官方PDF,True,False,,
10061,天津农学院,物理,207,495,173475,22,广东省教育考试院官方PDF,True,False,,
10061,天津农学院,物理,"育
208",525,120054,2,广东省教育考试院官方PDF,True,False,,
10062,天津医科大学,物理,202,592,33081,6,广东省教育考试院官方PDF,True,False,,
10063,天津中医药大学,物理,207,551,80308,4,广东省教育考试院官方PDF,True,False,,
10063,天津中医药大学,物理,208,569,55760,11,广东省教育考试院官方PDF,True,False,,
10063,"教
天津中医药大学",物理,209,556,72642,7,广东省教育考试院官方PDF,True,False,,
10063,天津中医药大学,物理,210,545,87882,5,广东省教育考试院官方PDF,True,False,,
10063,天津中医药大学,物理,211,530,112069,15,广东省教育考试院官方PDF,True,False,,
10065,天津师范大学,物理,218,552,78300,4,广东省教育考试院官方PDF,True,False,,
10065,"省
天津师范大学",物理,219,546,87279,9,广东省教育考试院官方PDF,True,False,,
10065,天津师范大学,物理,220,580,44016,1,广东省教育考试院官方PDF,True,False,,
10065,天津师范大学,物理,221,554,75850,4,广东省教育考试院官方PDF,True,False,,
10065,天津师范大学,物理,222,582,42521,1,广东省教育考试院官方PDF,True,False,,
10065,"东
天津师范大学",物理,223,554,74786,12,广东省教育考试院官方PDF,True,False,,
10065,天津师范大学,物理,224,567,58947,2,广东省教育考试院官方PDF,True,False,,
10065,天津师范大学,物理,225,555,74597,9,广东省教育考试院官方PDF,True,False,,
10065,天津师范大学,物理,226,556,72609,3,广东省教育考试院官方PDF,True,False,,
10066,"广
天津职业技术师范大学",物理,203,533,106572,2,广东省教育考试院官方PDF,True,False,,
10066,天津职业技术师范大学,物理,204,518,131823,31,广东省教育考试院官方PDF,True,False,,
10068,天津外国语大学,物理,206,543,90968,6,广东省教育考试院官方PDF,True,False,,
10068,天津外国语大学,物理,207,540,95539,3,广东省教育考试院官方PDF,True,False,,
10068,天津外国语大学,物理,208,540,96330,5,广东省教育考试院官方PDF,True,False,,
10068,天津外国语大学(中外合作办学),物理,209,540,96749,1,广东省教育考试院官方PDF,True,False,,
10068,天津外国语大学,物理,210,569,56240,1,广东省教育考试院官方PDF,True,False,,
10069,天津商业大学,物理,213,514,139239,3,广东省教育考试院官方PDF,True,False,,
10069,天津商业大学,物理,214,518,132703,27,广东省教育考试院官方PDF,True,False,,
10069,天津商业大学(中外合作办学),物理,215,529,113723,6,广东省教育考试院官方PDF,True,False,,
10069,天津商业大学,物理,216,529,113465,23,广东省教育考试院官方PDF,True,False,,
10070,天津财经大学,物理,209,549,82295,13,广东省教育考试院官方PDF,True,False,,
10070,天津财经大学(中外合作办学),物理,210,544,89376,5,广东省教育考试院官方PDF,True,False,,
10070,天津财经大学,物理,211,559,69113,7,广东省教育考试院官方PDF,True,False,,
10070,天津财经大学,物理,212,550,81174,14,广东省教育考试院官方PDF,True,False,,
10071,天津体育学院,物理,211,524,122483,1,广东省教育考试院官方PDF,True,False,,
10071,天津体育学院,物理,212,504,156719,1,广东省教育考试院官方PDF,True,False,,
10071,天津体育学院,物理,213,503,159496,1,广东省教育考试院官方PDF,True,False,,
10076,河北工程大学,物理,207,504,157849,2,广东省教育考试院官方PDF,True,False,,
10076,河北工程大学,物理,208,526,119518,2,广东省教育考试院官方PDF,True,False,,
10076,河北工程大学,物理,209,527,116360,12,广东省教育考试院官方PDF,True,False,,
10076,河北工程大学,物理,210,557,70817,2,广东省教育考试院官方PDF,True,False,,
10076,河北工程大学,物理,211,548,84123,2,广东省教育考试院官方PDF,True,False,,
10077,河北地质大学,物理,205,514,139281,11,广东省教育考试院官方PDF,True,False,,
10077,河北地质大学,物理,206,518,133256,12,广东省教育考试院官方PDF,True,False,,
10078,华北水利水电大学,物理,204,549,82706,29,广东省教育考试院官方PDF,True,False,,
10078,华北水利水电大学,物理,205,555,73611,4,广东省教育考试院官方PDF,True,False,,
10078,华北水利水电大学(中外合作办学),物理,206,533,107762,4,广东省教育考试院官方PDF,True,False,,
10079,华北电力大学(保定),物理,208,605,23226,98,广东省教育考试院官方PDF,True,False,,
10080,河北工业大学,物理,205,599,27099,25,广东省教育考试院官方PDF,True,False,,
10080,河北工业大学,物理,206,582,41901,10,广东省教育考试院官方PDF,True,False,,
10080,河北工业大学,物理,207,599,27130,"考
4",广东省教育考试院官方PDF,True,False,,
10080,河北工业大学,物理,208,609,20577,6,广东省教育考试院官方PDF,True,False,,
10080,河北工业大学(联合培养),物理,209,585,39297,6,广东省教育考试院官方PDF,True,False,,
10080,河北工业大学(联合培养),物理,210,585,38848,2,广东省教育考试院官方PDF,True,False,,
10081,华北理工大学(联合培养),物理,"育
215",504,157243,2,广东省教育考试院官方PDF,True,False,,
10081,华北理工大学,物理,216,526,118526,3,广东省教育考试院官方PDF,True,False,,
10081,华北理工大学,物理,217,518,132194,15,广东省教育考试院官方PDF,True,False,,
10081,华北理工大学,物理,218,528,116190,3,广东省教育考试院官方PDF,True,False,,
10081,"教
华北理工大学",物理,219,568,57711,2,广东省教育考试院官方PDF,True,False,,
10089,河北医科大学,物理,206,548,83615,6,广东省教育考试院官方PDF,True,False,,
10089,河北医科大学,物理,207,553,76718,12,广东省教育考试院官方PDF,True,False,,
10089,河北医科大学,物理,208,528,115903,4,广东省教育考试院官方PDF,True,False,,
10092,"省
河北北方学院",物理,202,537,101265,5,广东省教育考试院官方PDF,True,False,,
10092,河北北方学院,物理,203,530,112874,2,广东省教育考试院官方PDF,True,False,,
10092,河北北方学院,物理,204,509,147618,3,广东省教育考试院官方PDF,True,False,,
10093,承德医学院,物理,202,550,81414,3,广东省教育考试院官方PDF,True,False,,
10094,"东
河北师范大学",物理,205,555,74061,4,广东省教育考试院官方PDF,True,False,,
10094,河北师范大学,物理,206,508,150996,8,广东省教育考试院官方PDF,True,False,,
10101,衡水学院,物理,213,497,169881,2,广东省教育考试院官方PDF,True,False,,
10101,衡水学院,物理,214,501,163539,4,广东省教育考试院官方PDF,True,False,,
10101,"广
衡水学院",物理,215,495,173599,2,广东省教育考试院官方PDF,True,False,,
10101,衡水学院(中外合作办学),物理,216,488,185693,2,广东省教育考试院官方PDF,True,False,,
10103,邯郸学院,物理,204,494,175503,6,广东省教育考试院官方PDF,True,False,,
10104,邢台学院,物理,204,494,175033,2,广东省教育考试院官方PDF,True,False,,
10105,沧州师范学院,物理,204,497,169994,10,广东省教育考试院官方PDF,True,False,,
10107,石家庄铁道大学,物理,207,541,94799,1,广东省教育考试院官方PDF,True,False,,
10107,石家庄铁道大学,物理,208,540,96703,6,广东省教育考试院官方PDF,True,False,,
10107,石家庄铁道大学,物理,209,566,60221,2,广东省教育考试院官方PDF,True,False,,
10107,石家庄铁道大学,物理,210,564,62565,1,广东省教育考试院官方PDF,True,False,,
10108,山西大学,物理,204,566,59670,38,广东省教育考试院官方PDF,True,False,,
10109,太原科技大学,物理,202,526,118719,18,广东省教育考试院官方PDF,True,False,,
10110,中北大学,物理,218,531,109890,14,广东省教育考试院官方PDF,True,False,,
10110,中北大学,物理,219,580,43960,6,广东省教育考试院官方PDF,True,False,,
10110,中北大学,物理,220,547,85409,154,广东省教育考试院官方PDF,True,False,,
10110,中北大学,物理,221,570,55243,16,广东省教育考试院官方PDF,True,False,,
10112,太原理工大学,物理,203,579,45789,120,广东省教育考试院官方PDF,True,False,,
10113,山西农业大学,物理,210,491,181837,17,广东省教育考试院官方PDF,True,False,,
10113,山西农业大学,物理,211,498,168370,10,广东省教育考试院官方PDF,True,False,,
10113,山西农业大学,物理,212,530,111273,3,广东省教育考试院官方PDF,True,False,,
10113,山西农业大学,物理,213,493,177026,8,广东省教育考试院官方PDF,True,False,,
10113,山西农业大学,物理,214,493,176626,17,广东省教育考试院官方PDF,True,False,,
10114,山西医科大学,物理,207,530,111853,2,广东省教育考试院官方PDF,True,False,,
10114,山西医科大学,物理,208,516,136581,16,广东省教育考试院官方PDF,True,False,,
10114,山西医科大学,物理,209,531,110071,16,广东省教育考试院官方PDF,True,False,,
10114,山西医科大学,物理,210,515,137078,4,广东省教育考试院官方PDF,True,False,,
10117,长治医学院,物理,203,513,141065,9,广东省教育考试院官方PDF,True,False,,
10117,长治医学院,物理,204,492,178745,1,广东省教育考试院官方PDF,True,False,,
10118,山西师范大学,物理,210,536,101614,2,广东省教育考试院官方PDF,True,False,,
10118,山西师范大学,物理,212,507,152368,10,广东省教育考试院官方PDF,True,False,,
10120,山西大同大学,物理,205,531,109881,10,广东省教育考试院官方PDF,True,False,,
10124,忻州师范学院,物理,204,499,166245,1,广东省教育考试院官方PDF,True,False,,
10124,忻州师范学院,物理,205,496,171776,"考
6",广东省教育考试院官方PDF,True,False,,
10125,山西财经大学,物理,205,513,141889,19,广东省教育考试院官方PDF,True,False,,
10125,山西财经大学,物理,206,542,93567,5,广东省教育考试院官方PDF,True,False,,
10126,内蒙古大学,物理,217,547,84739,5,广东省教育考试院官方PDF,True,False,,
10126,内蒙古大学,物理,"育
218",552,77761,2,广东省教育考试院官方PDF,True,False,,
10126,内蒙古大学,物理,219,538,98424,38,广东省教育考试院官方PDF,True,False,,
10126,内蒙古大学,物理,220,549,82675,18,广东省教育考试院官方PDF,True,False,,
10126,内蒙古大学,物理,221,552,78109,3,广东省教育考试院官方PDF,True,False,,
10126,"教
内蒙古大学",物理,222,576,48619,10,广东省教育考试院官方PDF,True,False,,
10127,内蒙古科技大学,物理,208,491,180287,5,广东省教育考试院官方PDF,True,False,,
10127,内蒙古科技大学,物理,209,491,181469,66,广东省教育考试院官方PDF,True,False,,
10127,内蒙古科技大学,物理,210,502,161949,1,广东省教育考试院官方PDF,True,False,,
10128,"省
内蒙古工业大学",物理,204,490,182266,12,广东省教育考试院官方PDF,True,False,,
10128,内蒙古工业大学,物理,205,509,147593,52,广东省教育考试院官方PDF,True,False,,
10128,内蒙古工业大学,物理,206,502,161089,11,广东省教育考试院官方PDF,True,False,,
10128,内蒙古工业大学,物理,207,505,155561,5,广东省教育考试院官方PDF,True,False,,
10129,"东
内蒙古农业大学",物理,206,492,178515,4,广东省教育考试院官方PDF,True,False,,
10129,内蒙古农业大学,物理,207,490,182424,20,广东省教育考试院官方PDF,True,False,,
10129,内蒙古农业大学,物理,208,491,181476,16,广东省教育考试院官方PDF,True,False,,
10132,内蒙古医科大学,物理,205,488,186936,6,广东省教育考试院官方PDF,True,False,,
10132,"广
内蒙古医科大学",物理,206,544,90075,3,广东省教育考试院官方PDF,True,False,,
10132,内蒙古医科大学,物理,207,522,125671,14,广东省教育考试院官方PDF,True,False,,
10132,内蒙古医科大学,物理,208,529,113423,4,广东省教育考试院官方PDF,True,False,,
10135,内蒙古师范大学,物理,210,492,178638,5,广东省教育考试院官方PDF,True,False,,
10135,内蒙古师范大学,物理,211,508,151002,4,广东省教育考试院官方PDF,True,False,,
10135,内蒙古师范大学,物理,212,503,159285,9,广东省教育考试院官方PDF,True,False,,
10135,内蒙古师范大学,物理,213,506,153519,5,广东省教育考试院官方PDF,True,False,,
10136,内蒙古民族大学,物理,206,491,181409,10,广东省教育考试院官方PDF,True,False,,
10136,内蒙古民族大学,物理,207,519,130054,6,广东省教育考试院官方PDF,True,False,,
10136,内蒙古民族大学,物理,208,502,161683,1,广东省教育考试院官方PDF,True,False,,
10136,内蒙古民族大学,物理,209,492,179002,9,广东省教育考试院官方PDF,True,False,,
10140,辽宁大学,物理,208,564,62932,3,广东省教育考试院官方PDF,True,False,,
10140,辽宁大学,物理,209,562,64551,34,广东省教育考试院官方PDF,True,False,,
10140,辽宁大学,物理,210,578,45813,29,广东省教育考试院官方PDF,True,False,,
10140,辽宁大学(中外合作办学),物理,211,569,56031,3,广东省教育考试院官方PDF,True,False,,
10140,辽宁大学(中外合作办学),物理,212,543,90893,3,广东省教育考试院官方PDF,True,False,,
10140,辽宁大学(中外合作办学),物理,213,548,83680,4,广东省教育考试院官方PDF,True,False,,
10140,辽宁大学(中外合作办学),物理,214,565,60787,2,广东省教育考试院官方PDF,True,False,,
10141,大连理工大学,物理,208,636,7392,33,广东省教育考试院官方PDF,True,False,,
10141,大连理工大学(中外合作办学),物理,210,617,15501,10,广东省教育考试院官方PDF,True,False,,
10142,沈阳工业大学,物理,207,511,145747,13,广东省教育考试院官方PDF,True,False,,
10142,沈阳工业大学,物理,208,486,190608,15,广东省教育考试院官方PDF,True,False,,
10142,沈阳工业大学,物理,209,518,132051,60,广东省教育考试院官方PDF,True,False,,
10142,沈阳工业大学,物理,210,549,82158,5,广东省教育考试院官方PDF,True,False,,
10142,沈阳工业大学,物理,211,530,111499,4,广东省教育考试院官方PDF,True,False,,
10143,沈阳航空航天大学,物理,202,549,81854,7,广东省教育考试院官方PDF,True,False,,
10144,沈阳理工大学,物理,205,541,94287,19,广东省教育考试院官方PDF,True,False,,
10144,沈阳理工大学,物理,206,558,70201,1,广东省教育考试院官方PDF,True,False,,
10144,沈阳理工大学,物理,208,533,106591,1,广东省教育考试院官方PDF,True,False,,
10145,东北大学,物理,208,606,22070,2,广东省教育考试院官方PDF,True,False,,
10145,东北大学,物理,209,607,21595,8,广东省教育考试院官方PDF,True,False,,
10145,东北大学,物理,210,616,16407,"考
74",广东省教育考试院官方PDF,True,False,,
10145,东北大学,物理,211,614,17181,6,广东省教育考试院官方PDF,True,False,,
10145,东北大学,物理,212,616,16060,5,广东省教育考试院官方PDF,True,False,,
10145,东北大学(中外合作办学),物理,213,602,24886,17,广东省教育考试院官方PDF,True,False,,
10145,东北大学(中外合作办学),物理,"育
214",605,23281,18,广东省教育考试院官方PDF,True,False,,
10145,东北大学,物理,215,631,9361,5,广东省教育考试院官方PDF,True,False,,
10145,东北大学,物理,216,624,12305,14,广东省教育考试院官方PDF,True,False,,
10146,辽宁科技大学,物理,203,513,140583,14,广东省教育考试院官方PDF,True,False,,
10146,"教
辽宁科技大学(中外合作办学)",物理,204,523,124311,2,广东省教育考试院官方PDF,True,False,,
10147,辽宁工程技术大学,物理,208,535,104511,16,广东省教育考试院官方PDF,True,False,,
10147,辽宁工程技术大学,物理,209,497,169871,3,广东省教育考试院官方PDF,True,False,,
10147,辽宁工程技术大学,物理,210,541,94793,5,广东省教育考试院官方PDF,True,False,,
10148,"省
辽宁石油化工大学",物理,206,531,109734,7,广东省教育考试院官方PDF,True,False,,
10148,辽宁石油化工大学,物理,207,531,110556,3,广东省教育考试院官方PDF,True,False,,
10148,辽宁石油化工大学,物理,208,547,85130,1,广东省教育考试院官方PDF,True,False,,
10148,辽宁石油化工大学,物理,209,536,102966,2,广东省教育考试院官方PDF,True,False,,
10148,"东
辽宁石油化工大学(中外合作办学)",物理,210,525,120999,2,广东省教育考试院官方PDF,True,False,,
10149,沈阳化工大学,物理,208,499,166794,2,广东省教育考试院官方PDF,True,False,,
10149,沈阳化工大学,物理,209,480,200116,2,广东省教育考试院官方PDF,True,False,,
10149,沈阳化工大学,物理,210,536,101561,6,广东省教育考试院官方PDF,True,False,,
10149,"广
沈阳化工大学",物理,211,541,93971,1,广东省教育考试院官方PDF,True,False,,
10149,沈阳化工大学,物理,212,508,149865,11,广东省教育考试院官方PDF,True,False,,
10149,沈阳化工大学(中外合作办学),物理,213,514,139691,2,广东省教育考试院官方PDF,True,False,,
10150,大连交通大学,物理,206,539,98239,4,广东省教育考试院官方PDF,True,False,,
10150,大连交通大学,物理,207,535,103931,17,广东省教育考试院官方PDF,True,False,,
10150,大连交通大学(中外合作办学),物理,208,521,127878,7,广东省教育考试院官方PDF,True,False,,
10150,大连交通大学,物理,209,530,111573,4,广东省教育考试院官方PDF,True,False,,
10151,大连海事大学,物理,213,572,53243,3,广东省教育考试院官方PDF,True,False,,
10151,大连海事大学,物理,214,582,41813,18,广东省教育考试院官方PDF,True,False,,
10151,大连海事大学(中外合作办学),物理,215,595,30904,3,广东省教育考试院官方PDF,True,False,,
10151,大连海事大学,物理,216,588,36462,61,广东省教育考试院官方PDF,True,False,,
10151,大连海事大学,物理,217,588,36106,7,广东省教育考试院官方PDF,True,False,,
10151,大连海事大学(中外合作办学),物理,218,531,110241,15,广东省教育考试院官方PDF,True,False,,
10152,大连工业大学,物理,211,518,133161,13,广东省教育考试院官方PDF,True,False,,
10152,大连工业大学,物理,212,544,89562,2,广东省教育考试院官方PDF,True,False,,
10152,大连工业大学,物理,213,527,117465,7,广东省教育考试院官方PDF,True,False,,
10152,大连工业大学,物理,214,529,114367,2,广东省教育考试院官方PDF,True,False,,
10152,大连工业大学(中外合作办学),物理,215,536,101819,3,广东省教育考试院官方PDF,True,False,,
10152,大连工业大学(中外合作办学),物理,216,538,99311,2,广东省教育考试院官方PDF,True,False,,
10152,大连工业大学(中外合作办学),物理,217,537,101385,2,广东省教育考试院官方PDF,True,False,,
10152,大连工业大学(中外合作办学),物理,218,531,110661,2,广东省教育考试院官方PDF,True,False,,
10153,沈阳建筑大学,物理,209,502,160600,8,广东省教育考试院官方PDF,True,False,,
10153,沈阳建筑大学,物理,210,520,129064,1,广东省教育考试院官方PDF,True,False,,
